cartodb_id,end_num_rides,start_num_rides,total_num_rides,ttl_per,ed_per_out,st_per_out,ed_per_in,st_per_in,station_id,station_lon,station_lat,std_rides,the_geom
76,7749,7352,15101,1.16%,1.19%,1.12%,51.30%,48.70%,3033,-75.15672,39.95005,0.28,0101000020E610000044A852B307CA52C04BC8073D9BF94340
77,17240,16985,34225,2.62%,2.65%,2.59%,50.40%,49.60%,3032,-75.17971,39.94527,2.25,0101000020E6100000E8305F5E80CB52C0E9F17B9BFEF84340
78,6390,6682,13072,1.00%,0.98%,1.02%,48.90%,51.10%,3031,-75.15522,39.98005,0.07,0101000020E6100000D9EBDD1FEFC952C0EF38454772FD4340
79,8828,8773,17601,1.35%,1.36%,1.34%,50.20%,49.80%,3030,-75.15716,39.93935,0.53,0101000020E6100000520FD1E80ECA52C0B1BFEC9E3CF84340
80,12308,13209,25517,1.95%,1.89%,2.02%,48.20%,51.80%,3029,-75.19479,39.9538,1.35,0101000020E61000009FE5797077CC52C060764F1E16FA4340
81,13514,11691,25205,1.93%,2.08%,1.78%,53.60%,46.40%,3028,-75.14958,39.94061,1.32,0101000020E6100000AF08FEB792C952C0312592E865F84340
82,3484,4824,8308,0.64%,0.54%,0.74%,41.90%,58.10%,3027,-75.20177,39.95708,-0.43,0101000020E610000017D4B7CCE9CC52C0EDD3F19881FA4340
83,9274,8516,17790,1.36%,1.43%,1.30%,52.10%,47.90%,3026,-75.14564,39.94138,0.55,0101000020E6100000533F6F2A52C952C0E38DCC237FF84340
84,6253,6502,12755,0.98%,0.96%,0.99%,49.00%,51.00%,3025,-75.1612,39.93724,0.03,0101000020E61000005F07CE1951CA52C06440F67AF7F74340
85,4691,4895,9586,0.73%,0.72%,0.75%,48.90%,51.10%,3024,-75.20908,39.94822,-0.29,0101000020E6100000DA8F149161CD52C0E1B4E0455FF94340
86,27166,26133,53299,4.08%,4.18%,3.99%,51.00%,49.00%,3023,-75.17286,39.95048,4.23,0101000020E610000057B2632310CB52C044C02154A9F94340
87,15581,15623,31204,2.39%,2.40%,2.39%,49.90%,50.10%,3022,-75.18323,39.95472,1.94,0101000020E61000005969520ABACB52C0276BD44334FA4340
88,22126,18503,40629,3.11%,3.40%,2.82%,54.50%,45.50%,3021,-75.16902,39.9539,2.92,0101000020E6100000AD174339D1CA52C0C3D32B6519FA4340
89,11924,13770,25694,1.97%,1.83%,2.10%,46.40%,53.60%,3020,-75.18986,39.94887,1.37,0101000020E610000063B48EAA26CC52C0E813799274F94340
90,3787,3893,7680,0.59%,0.58%,0.59%,49.30%,50.70%,3019,-75.14983,39.95403,-0.49,0101000020E61000006B7D91D096C952C092B3B0A71DFA4340
91,11657,11526,23183,1.78%,1.79%,1.76%,50.30%,49.70%,3018,-75.15979,39.95273,1.11,0101000020E6100000950ED6FF39CA52C084F57F0EF3F94340
92,1139,959,2098,0.16%,0.18%,0.15%,54.30%,45.70%,3017,-75.14371,39.98003,-1.07,0101000020E6100000EC866D8B32C952C0A88C7F9F71FD4340
93,419,420,839,0.06%,0.06%,0.06%,49.90%,50.10%,3016,-75.1547,39.96892,-1.2,0101000020E61000003D2CD49AE6C952C05C38109205FC4340
94,5905,5396,11301,0.87%,0.91%,0.82%,52.30%,47.70%,3015,-75.14886,39.94735,-0.12,0101000020E6100000AFEB17EC86C952C0CCEEC9C342F94340
95,7147,7010,14157,1.08%,1.10%,1.07%,50.50%,49.50%,3014,-75.17369,39.95886,0.18,0101000020E61000001A69A9BC1DCB52C0A6B8AAECBBFA4340
96,3275,3492,6767,0.52%,0.50%,0.53%,48.40%,51.60%,3013,-75.14792,39.96317,-0.59,0101000020E6100000289B728577C952C0813E912749FB4340
97,11619,12056,23675,1.81%,1.79%,1.84%,49.10%,50.90%,3012,-75.17747,39.94218,1.16,0101000020E61000005A8121AB5BCB52C0FF78AF5A99F84340
98,3155,3643,6798,0.52%,0.49%,0.56%,46.40%,53.60%,3011,-75.19701,39.96046,-0.58,0101000020E61000000ABFD4CF9BCC52C0DE8E705AF0FA4340
99,19616,19752,39368,3.02%,3.02%,3.02%,49.80%,50.20%,3010,-75.16618,39.94711,2.79,0101000020E6100000F44F70B1A2CA52C077DB85E63AF94340
100,11090,10361,21451,1.64%,1.71%,1.58%,51.70%,48.30%,3009,-75.18982,39.95576,0.93,0101000020E61000001C08C90226CC52C09869FB5756FA4340
101,2319,2453,4772,0.37%,0.36%,0.37%,48.60%,51.40%,3008,-75.15055,39.98078,-0.79,0101000020E61000006B9A779CA2C952C01349F4328AFD4340
102,12942,12424,25366,1.94%,1.99%,1.90%,51.00%,49.00%,3007,-75.15993,39.94517,1.34,0101000020E61000008EE9094B3CCA52C085949F54FBF84340
103,7421,8367,15788,1.21%,1.14%,1.28%,47.00%,53.00%,3006,-75.20311,39.9522,0.35,0101000020E610000065DF15C1FFCC52C027A089B0E1F94340
104,4812,4283,9095,0.70%,0.74%,0.65%,52.90%,47.10%,3005,-75.14403,39.94733,-0.34,0101000020E610000025E99AC937C952C08542041C42F94340
105,10465,9717,20182,1.55%,1.61%,1.48%,51.90%,48.10%,3004,-75.16374,39.95378,0.8,0101000020E6100000034356B77ACA52C019CA897615FA4340
106,650294,654987,1305281,,,,49.80%,50.20%,total,,,,
108,,,9672,,,,,,std.deviation,,,,
